[ 5913.454883] TCP: my_cca: seq=1 cwnd=10 rtt=191 bytes_acked=1448 bytes_sent=10220 phase=slow_start Destination: 192.168.88.253:34706
[ 5913.475455] TCP: my_cca: seq=227 cwnd=7 rtt=223 bytes_acked=606796 bytes_sent=669060 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.475700] TCP: my_cca: seq=231 cwnd=3 rtt=101 bytes_acked=615484 bytes_sent=676300 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.476378] TCP: my_cca: seq=237 cwnd=6 rtt=271 bytes_acked=632860 bytes_sent=698020 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.476636] TCP: my_cca: seq=240 cwnd=3 rtt=105 bytes_acked=641548 bytes_sent=705260 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.477252] TCP: my_cca: seq=247 cwnd=6 rtt=274 bytes_acked=658924 bytes_sent=726980 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.477448] TCP: my_cca: seq=250 cwnd=3 rtt=109 bytes_acked=666164 bytes_sent=732772 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.477993] TCP: my_cca: seq=258 cwnd=6 rtt=149 bytes_acked=683540 bytes_sent=755940 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.478343] TCP: my_cca: seq=262 cwnd=3 rtt=123 bytes_acked=692228 bytes_sent=763180 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.478860] TCP: my_cca: seq=269 cwnd=6 rtt=188 bytes_acked=709604 bytes_sent=784900 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.484433] TCP: my_cca: seq=271 cwnd=4 rtt=108 bytes_acked=718292 bytes_sent=789244 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.487388] TCP: my_cca: seq=300 cwnd=7 rtt=108 bytes_acked=783452 bytes_sent=861644 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.502481] TCP: my_cca: seq=375 cwnd=7 rtt=210 bytes_acked=993412 bytes_sent=1075948 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.502722] TCP: my_cca: seq=378 cwnd=3 rtt=102 bytes_acked=1002100 bytes_sent=1083188 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.503351] TCP: my_cca: seq=385 cwnd=6 rtt=283 bytes_acked=1019476 bytes_sent=1104908 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.503595] TCP: my_cca: seq=388 cwnd=3 rtt=101 bytes_acked=1028164 bytes_sent=1112148 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.504222] TCP: my_cca: seq=394 cwnd=6 rtt=268 bytes_acked=1045540 bytes_sent=1133868 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.504473] TCP: my_cca: seq=397 cwnd=3 rtt=107 bytes_acked=1054228 bytes_sent=1141108 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.504753] TCP: my_cca: seq=400 cwnd=5 rtt=127 bytes_acked=1062916 bytes_sent=1151244 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.505093] TCP: my_cca: seq=404 cwnd=6 rtt=270 bytes_acked=1071604 bytes_sent=1162828 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.505342] TCP: my_cca: seq=407 cwnd=3 rtt=105 bytes_acked=1080292 bytes_sent=1170068 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.505968] TCP: my_cca: seq=414 cwnd=6 rtt=281 bytes_acked=1097668 bytes_sent=1191788 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.506219] TCP: my_cca: seq=417 cwnd=3 rtt=104 bytes_acked=1106356 bytes_sent=1199028 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.506847] TCP: my_cca: seq=424 cwnd=6 rtt=199 bytes_acked=1125180 bytes_sent=1248260 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.507017] TCP: my_cca: seq=427 cwnd=3 rtt=282 bytes_acked=1130972 bytes_sent=1249708 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.507570] TCP: my_cca: seq=435 cwnd=6 rtt=188 bytes_acked=1148348 bytes_sent=1275772 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.507878] TCP: my_cca: seq=439 cwnd=3 rtt=124 bytes_acked=1157036 bytes_sent=1283012 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.508596] TCP: my_cca: seq=446 cwnd=6 rtt=206 bytes_acked=1177308 bytes_sent=1310524 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.508816] TCP: my_cca: seq=449 cwnd=3 rtt=126 bytes_acked=1183100 bytes_sent=1317764 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.509316] TCP: my_cca: seq=457 cwnd=6 rtt=162 bytes_acked=1200476 bytes_sent=1342380 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.510837] TCP: my_cca: seq=459 cwnd=4 rtt=95 bytes_acked=1209164 bytes_sent=1349620 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.513088] TCP: my_cca: seq=497 cwnd=7 rtt=235 bytes_acked=1310524 bytes_sent=1453876 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.513329] TCP: my_cca: seq=500 cwnd=3 rtt=103 bytes_acked=1319212 bytes_sent=1461116 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.514047] TCP: my_cca: seq=506 cwnd=6 rtt=368 bytes_acked=1339484 bytes_sent=1484284 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.514302] TCP: my_cca: seq=508 cwnd=3 rtt=107 bytes_acked=1345276 bytes_sent=1491524 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.514838] TCP: my_cca: seq=515 cwnd=6 rtt=205 bytes_acked=1362652 bytes_sent=1513244 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.517702] TCP: my_cca: seq=517 cwnd=4 rtt=118 bytes_acked=1369892 bytes_sent=1517588 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.527077] TCP: my_cca: seq=600 cwnd=7 rtt=182 bytes_acked=1588540 bytes_sent=1742028 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.527312] TCP: my_cca: seq=603 cwnd=3 rtt=102 bytes_acked=1597228 bytes_sent=1749268 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.527949] TCP: my_cca: seq=609 cwnd=6 rtt=285 bytes_acked=1614604 bytes_sent=1770988 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.528191] TCP: my_cca: seq=612 cwnd=3 rtt=101 bytes_acked=1623292 bytes_sent=1778228 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.528821] TCP: my_cca: seq=619 cwnd=6 rtt=281 bytes_acked=1640668 bytes_sent=1799948 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.529022] TCP: my_cca: seq=622 cwnd=3 rtt=111 bytes_acked=1647908 bytes_sent=1805740 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.529534] TCP: my_cca: seq=630 cwnd=6 rtt=131 bytes_acked=1665284 bytes_sent=1828908 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.529912] TCP: my_cca: seq=634 cwnd=3 rtt=122 bytes_acked=1673972 bytes_sent=1836148 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.530429] TCP: my_cca: seq=642 cwnd=6 rtt=184 bytes_acked=1691348 bytes_sent=1860764 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.530733] TCP: my_cca: seq=646 cwnd=3 rtt=128 bytes_acked=1700036 bytes_sent=1868004 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.531309] TCP: my_cca: seq=654 cwnd=6 rtt=197 bytes_acked=1717412 bytes_sent=1889724 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.531588] TCP: my_cca: seq=658 cwnd=3 rtt=111 bytes_acked=1726100 bytes_sent=1895516 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.532172] TCP: my_cca: seq=666 cwnd=6 rtt=148 bytes_acked=1743476 bytes_sent=1918684 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.535115] TCP: my_cca: seq=670 cwnd=4 rtt=142 bytes_acked=1755060 bytes_sent=1927372 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.538624] TCP: my_cca: seq=700 cwnd=7 rtt=112 bytes_acked=1824564 bytes_sent=2001220 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.539477] TCP: my_cca: seq=722 cwnd=7 rtt=162 bytes_acked=1879588 bytes_sent=2056244 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.539723] TCP: my_cca: seq=725 cwnd=3 rtt=107 bytes_acked=1888276 bytes_sent=2063484 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.540332] TCP: my_cca: seq=731 cwnd=6 rtt=260 bytes_acked=1905652 bytes_sent=2085204 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.540574] TCP: my_cca: seq=734 cwnd=3 rtt=103 bytes_acked=1914340 bytes_sent=2092444 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.541219] TCP: my_cca: seq=741 cwnd=6 rtt=199 bytes_acked=1933164 bytes_sent=2119956 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.541427] TCP: my_cca: seq=744 cwnd=3 rtt=122 bytes_acked=1938956 bytes_sent=2127196 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.541957] TCP: my_cca: seq=751 cwnd=6 rtt=198 bytes_acked=1956332 bytes_sent=2151812 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.542244] TCP: my_cca: seq=755 cwnd=3 rtt=122 bytes_acked=1965020 bytes_sent=2159052 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.542952] TCP: my_cca: seq=763 cwnd=6 rtt=283 bytes_acked=1983844 bytes_sent=2180772 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.543237] TCP: my_cca: seq=766 cwnd=3 rtt=109 bytes_acked=1992532 bytes_sent=2188012 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.543831] TCP: my_cca: seq=773 cwnd=6 rtt=261 bytes_acked=2009908 bytes_sent=2212628 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.544048] TCP: my_cca: seq=776 cwnd=3 rtt=129 bytes_acked=2017148 bytes_sent=2219868 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.544704] TCP: my_cca: seq=783 cwnd=6 rtt=200 bytes_acked=2037420 bytes_sent=2251724 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.544912] TCP: my_cca: seq=786 cwnd=3 rtt=117 bytes_acked=2043212 bytes_sent=2258964 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.545427] TCP: my_cca: seq=794 cwnd=6 rtt=186 bytes_acked=2060588 bytes_sent=2283580 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.545726] TCP: my_cca: seq=798 cwnd=3 rtt=116 bytes_acked=2069276 bytes_sent=2289372 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.545893] TCP: my_cca: seq=800 cwnd=4 rtt=161 bytes_acked=2073620 bytes_sent=2295164 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.546288] TCP: my_cca: seq=806 cwnd=6 rtt=135 bytes_acked=2086652 bytes_sent=2312540 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.546665] TCP: my_cca: seq=810 cwnd=3 rtt=122 bytes_acked=2095340 bytes_sent=2319780 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.547310] TCP: my_cca: seq=818 cwnd=6 rtt=277 bytes_acked=2114164 bytes_sent=2341500 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.547557] TCP: my_cca: seq=821 cwnd=3 rtt=105 bytes_acked=2122852 bytes_sent=2348740 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.548187] TCP: my_cca: seq=828 cwnd=6 rtt=249 bytes_acked=2140228 bytes_sent=2370460 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.548435] TCP: my_cca: seq=831 cwnd=3 rtt=102 bytes_acked=2148916 bytes_sent=2377700 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.549066] TCP: my_cca: seq=838 cwnd=6 rtt=201 bytes_acked=2167740 bytes_sent=2409556 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.549238] TCP: my_cca: seq=841 cwnd=3 rtt=291 bytes_acked=2173532 bytes_sent=2411004 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.549945] TCP: my_cca: seq=849 cwnd=6 rtt=203 bytes_acked=2193804 bytes_sent=2435620 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.552852] TCP: my_cca: seq=852 cwnd=4 rtt=145 bytes_acked=2202492 bytes_sent=2444308 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.555989] TCP: my_cca: seq=900 cwnd=7 rtt=143 bytes_acked=2327020 bytes_sent=2576076 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.556196] TCP: my_cca: seq=903 cwnd=3 rtt=104 bytes_acked=2335708 bytes_sent=2580420 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.556851] TCP: my_cca: seq=909 cwnd=6 rtt=283 bytes_acked=2353084 bytes_sent=2602140 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.557112] TCP: my_cca: seq=912 cwnd=3 rtt=110 bytes_acked=2361772 bytes_sent=2609380 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.557720] TCP: my_cca: seq=919 cwnd=6 rtt=270 bytes_acked=2379148 bytes_sent=2631100 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.557983] TCP: my_cca: seq=922 cwnd=3 rtt=113 bytes_acked=2387836 bytes_sent=2638340 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.558587] TCP: my_cca: seq=928 cwnd=6 rtt=201 bytes_acked=2405212 bytes_sent=2660060 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.558849] TCP: my_cca: seq=931 cwnd=3 rtt=104 bytes_acked=2413900 bytes_sent=2667300 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.559676] TCP: my_cca: seq=940 cwnd=7 rtt=114 bytes_acked=2438516 bytes_sent=2697708 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.560015] TCP: my_cca: seq=944 cwnd=3 rtt=120 bytes_acked=2448652 bytes_sent=2704948 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.560639] TCP: my_cca: seq=951 cwnd=6 rtt=201 bytes_acked=2467476 bytes_sent=2732460 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.560940] TCP: my_cca: seq=954 cwnd=3 rtt=110 bytes_acked=2474716 bytes_sent=2739700 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.561496] TCP: my_cca: seq=960 cwnd=6 rtt=212 bytes_acked=2492092 bytes_sent=2761420 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.561738] TCP: my_cca: seq=963 cwnd=3 rtt=104 bytes_acked=2500780 bytes_sent=2768660 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.562369] TCP: my_cca: seq=970 cwnd=6 rtt=269 bytes_acked=2518156 bytes_sent=2790380 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.562617] TCP: my_cca: seq=973 cwnd=3 rtt=103 bytes_acked=2526844 bytes_sent=2797620 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.563240] TCP: my_cca: seq=979 cwnd=6 rtt=271 bytes_acked=2544220 bytes_sent=2819340 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.563492] TCP: my_cca: seq=982 cwnd=3 rtt=104 bytes_acked=2552908 bytes_sent=2826580 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.564118] TCP: my_cca: seq=988 cwnd=6 rtt=269 bytes_acked=2570284 bytes_sent=2848300 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.564407] TCP: my_cca: seq=991 cwnd=3 rtt=107 bytes_acked=2578972 bytes_sent=2855540 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.564984] TCP: my_cca: seq=998 cwnd=6 rtt=199 bytes_acked=2596348 bytes_sent=2877260 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.565117] TCP: my_cca: seq=1000 cwnd=3 rtt=92 bytes_acked=2602140 bytes_sent=2881604 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.565186] TCP: my_cca: seq=1001 cwnd=3 rtt=115 bytes_acked=2603588 bytes_sent=2884500 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.565733] TCP: my_cca: seq=1009 cwnd=6 rtt=201 bytes_acked=2620964 bytes_sent=2906220 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.566023] TCP: my_cca: seq=1013 cwnd=3 rtt=114 bytes_acked=2629652 bytes_sent=2912012 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.567176] TCP: my_cca: seq=1027 cwnd=7 rtt=125 bytes_acked=2664404 bytes_sent=2952556 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.567511] TCP: my_cca: seq=1031 cwnd=3 rtt=115 bytes_acked=2673092 bytes_sent=2959796 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.568040] TCP: my_cca: seq=1039 cwnd=6 rtt=175 bytes_acked=2690468 bytes_sent=2981516 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.568604] TCP: my_cca: seq=1043 cwnd=4 rtt=115 bytes_acked=2702052 bytes_sent=2991652 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.569266] TCP: my_cca: seq=1053 cwnd=7 rtt=241 bytes_acked=2725220 bytes_sent=3019164 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.569527] TCP: my_cca: seq=1056 cwnd=3 rtt=106 bytes_acked=2733908 bytes_sent=3024956 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.570050] TCP: my_cca: seq=1062 cwnd=6 rtt=218 bytes_acked=2749836 bytes_sent=3043780 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.570304] TCP: my_cca: seq=1065 cwnd=3 rtt=107 bytes_acked=2757076 bytes_sent=3051020 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.570947] TCP: my_cca: seq=1072 cwnd=6 rtt=273 bytes_acked=2774452 bytes_sent=3072740 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.571198] TCP: my_cca: seq=1075 cwnd=3 rtt=103 bytes_acked=2783140 bytes_sent=3079980 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.571818] TCP: my_cca: seq=1082 cwnd=6 rtt=278 bytes_acked=2800516 bytes_sent=3101700 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.572094] TCP: my_cca: seq=1085 cwnd=3 rtt=131 bytes_acked=2809204 bytes_sent=3108940 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.572690] TCP: my_cca: seq=1092 cwnd=6 rtt=270 bytes_acked=2826580 bytes_sent=3130660 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.572945] TCP: my_cca: seq=1095 cwnd=3 rtt=111 bytes_acked=2835268 bytes_sent=3137900 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.573388] TCP: my_cca: seq=1100 cwnd=6 rtt=166 bytes_acked=2849748 bytes_sent=3156724 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.573563] TCP: my_cca: seq=1101 cwnd=6 rtt=281 bytes_acked=2852644 bytes_sent=3159620 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.573834] TCP: my_cca: seq=1104 cwnd=3 rtt=107 bytes_acked=2861332 bytes_sent=3166860 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.574436] TCP: my_cca: seq=1111 cwnd=6 rtt=262 bytes_acked=2878708 bytes_sent=3188580 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.574689] TCP: my_cca: seq=1114 cwnd=3 rtt=109 bytes_acked=2887396 bytes_sent=3195820 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.575302] TCP: my_cca: seq=1120 cwnd=6 rtt=276 bytes_acked=2904772 bytes_sent=3217540 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.575557] TCP: my_cca: seq=1123 cwnd=3 rtt=107 bytes_acked=2913460 bytes_sent=3224780 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.576178] TCP: my_cca: seq=1129 cwnd=6 rtt=279 bytes_acked=2930836 bytes_sent=3246500 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.576430] TCP: my_cca: seq=1132 cwnd=3 rtt=103 bytes_acked=2939524 bytes_sent=3253740 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.577053] TCP: my_cca: seq=1139 cwnd=6 rtt=269 bytes_acked=2956900 bytes_sent=3275460 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.577306] TCP: my_cca: seq=1142 cwnd=3 rtt=106 bytes_acked=2965588 bytes_sent=3282700 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.577930] TCP: my_cca: seq=1149 cwnd=6 rtt=291 bytes_acked=2982964 bytes_sent=3304420 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.578178] TCP: my_cca: seq=1152 cwnd=3 rtt=103 bytes_acked=2991652 bytes_sent=3311660 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.579104] TCP: my_cca: seq=1160 cwnd=7 rtt=180 bytes_acked=3019164 bytes_sent=3343516 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.579352] TCP: my_cca: seq=1163 cwnd=3 rtt=102 bytes_acked=3026404 bytes_sent=3350756 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.579825] TCP: my_cca: seq=1170 cwnd=6 rtt=167 bytes_acked=3042332 bytes_sent=3372476 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.580183] TCP: my_cca: seq=1174 cwnd=3 rtt=126 bytes_acked=3051020 bytes_sent=3379716 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.580869] TCP: my_cca: seq=1181 cwnd=6 rtt=231 bytes_acked=3072740 bytes_sent=3407228 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.581129] TCP: my_cca: seq=1183 cwnd=3 rtt=122 bytes_acked=3078532 bytes_sent=3414468 phase=congestion_avoidance Destination: 192.168.88.253:34706
